DatasetID,year1,author1,DATA (B) 0.1,DATA-ERR (B) 0.911,ERR-S (PER-CENT) 0.944,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,ERR-4 (PER-CENT) 0.955,ERR-5 (PER-CENT) 0.955,EN (EV) 1.1,EN-ERR (EV) 1.911,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
O1884008,2011,M.L.Bonardi+,0.01821,9.9e-4,0.05,1,1.5,2,3,0.5,2.159e+7,2.5e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,0.01897,9.9e-4,0.05,1,1.5,2,3,0.5,2.033e+7,3.3e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,0.02106,0.00106,0.05,1,1.5,2,3,0.5,1.901e+7,3.9e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,0.02376,0.00115,0.05,1,1.5,2,3,0.5,1.762e+7,4.3e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,0.02342,0.00106,0.05,1,1.5,2,3,0.5,1.643e+7,2.4e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,0.02561,0.00121,0.05,1,1.5,2,3,0.5,1.615e+7,4.7e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,0.02399,0.00115,0.05,1,1.5,2,3,0.5,1.569e+7,2.7e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,0.02549,0.00112,0.05,1,1.5,2,3,0.5,1.493e+7,2.9e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,0.02559,0.00112,0.05,1,1.5,2,3,0.5,1.406e+7,3.2e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,0.02944,0.00139,0.05,1,1.5,2,3,0.5,1.334e+7,2.9e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,0.02867,0.00138,0.05,1,1.5,2,3,0.5,1.323e+7,3.4e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,0.03347,0.00153,0.05,1,1.5,2,3,0.5,1.249e+7,3.0e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,0.04023,0.00181,0.05,1,1.5,2,3,0.5,1.159e+7,3.1e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,0.0491,0.00213,0.05,1,1.5,2,3,0.5,1.053e+7,4.8e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,0.0627,0.00268,0.05,1,1.5,2,3,0.5,9.52e+6,5.4e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,0.06423,0.00271,0.05,1,1.5,2,3,0.5,8.9e+6,3.7e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,0.01819,7.9e-4,0.05,1,1.5,2,3,0.5,7.76e+6,4.4e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,8.0e-4,4.0e-5,0.05,1,1.5,2,3,0.5,6.26e+6,4.8e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
O1884008,2011,M.L.Bonardi+,1.4e-5,1.0e-6,0.05,1,1.5,2,3,0.5,4.73e+6,5.3e+5,74186,74-W-186,P,N,75-RE-186-G,3,4,CS,CS,1,2,"74-W-186(P,N)75-RE-186-G,,SIG"
